controller,hour,load,pv,wind,generatorPower,batteryPower,soc,fuelRemaining,unserved,criticalUnserved,curtailed
Tuned rules,0,83.32464716129005,0,27.563030554074775,0,55.761616607215274,50.30552379234409,16000,0,0,0
Tuned rules,1,84.1249842838985,0,20.367268405794643,0,63.75771587810385,33.503890410286544,16000,0,0,0
Tuned rules,2,83.02002791425608,0,35.228576114480425,48,-0.2085482002243566,33.55335195888438,15982.96,0,0,0
Tuned rules,3,82.02509642282396,0,53.877839914505806,48,-19.85274349168185,38.26184350164428,15965.919999999998,0,0,0
Tuned rules,4,83.30844106720329,0,35.10843535787145,100,-51.79999429066817,50.5472908573115,15930.419999999998,0,0,0
Tuned rules,5,83.3860207734376,0,35.98301136652507,100,-52.59699059308747,63.021762483157005,15894.919999999998,0,0,0
Tuned rules,6,83.50778617398058,17.922195360949186,36.21744784220449,100,-70.63185702917312,79.77357825162409,15859.419999999998,0,0,0
Tuned rules,7,88.94260823652493,35.83034594362701,47.32201114017809,100,-64.20023111892148,95,15823.919999999998,0,0,30.009517728358688
Tuned rules,8,88.07097610167037,53.392611134686504,66.9047053348327,0,0,95,15823.919999999998,0,0,32.226340367848834
Tuned rules,9,88.24047940571562,66.9254507214739,66.14190694881069,0,0,95,15823.919999999998,0,0,44.826878264568975
Tuned rules,10,90.02114762932906,72.61874410479166,36.5965638302167,0,0,95,15823.919999999998,0,0,19.19416030567929
Tuned rules,11,89.34862187346911,80.91871833394806,49.553492671499086,0,0,95,15823.919999999998,0,0,41.12358913197804
Tuned rules,12,88.88679363724779,84.83015394445496,60.81752620259322,0,0,95,15823.919999999998,0,0,56.7608865098004
Tuned rules,13,89.53854875692497,81.15272981951797,50.73166460202266,0,0,95,15823.919999999998,0,0,42.345845664615666
Tuned rules,14,90.90721333099549,71.52858986281792,31.41329400826028,0,0,95,15823.919999999998,0,0,12.034670540082715
Tuned rules,15,90.58004819144297,63.10077039638032,37.68425568429976,0,0,95,15823.919999999998,0,0,10.2049778892371
Tuned rules,16,89.35723620998948,52.928621727628524,61.27284601881437,0,0,95,15823.919999999998,0,0,24.844231536453407
Tuned rules,17,88.84168551307627,37.73757347678979,75.1582894018394,0,0,95,15823.919999999998,0,0,24.054177365552917
Tuned rules,18,87.29346096891203,20.571756995158914,90,0,0,95,15823.919999999998,0,0,23.278296026246892
Tuned rules,19,89.14656377592934,1.0673384966318968e-14,73.28680005388713,0,15.859763722042189,90.82058529051976,15823.919999999998,0,0,0
Tuned rules,20,88.25883450052092,0,90,0,-1.7411654994790808,91.23353894764415,15823.919999999998,0,0,0
Tuned rules,21,89.59842243524272,0,67.88201911186302,0,21.71640332337971,85.51076419024999,15823.919999999998,0,0,0
Tuned rules,22,91.12651310405573,0,41.14129469451978,0,49.98521840953595,72.33850256399059,15823.919999999998,0,0,0
Tuned rules,23,86.65675978232554,0,22.486149806672067,0,64.17060997565346,55.42806203354167,15823.919999999998,0,0,0
Tuned rules,24,87.02281801824608,0,19.743012202432148,0,67.27980581581394,37.69827645755708,15823.919999999998,0,0,0
Tuned rules,25,86.59582977957534,0,25.14595917811576,100,-38.55012939854042,46.84124243207743,15788.419999999998,0,0,0
Tuned rules,26,87.53044494812701,0,16.712306627821594,100,-29.181861679694578,53.76232862746407,15752.919999999998,0,0,0
Tuned rules,27,86.9915224107576,0,22.64871572747249,100,-35.657193316714896,62.21917456619552,15717.419999999998,0,0,0
Tuned rules,28,88.13653646944269,0,13.148692937698236,100,-25.01215646825554,68.15132833861057,15681.919999999998,0,0,0
Tuned rules,29,88.11124543087162,0,13.885029164770232,100,-25.77378373389861,74.26411787758947,15646.419999999998,0,0,0
Tuned rules,30,87.45211976453339,9.9668278703453,20.198267467354984,100,-42.71297557316689,84.39438951166522,15610.919999999998,0,0,0
Tuned rules,31,94.58721640034706,18.613782641339085,11.435443067785263,100,-35.4620093087773,92.80494349830244,15575.419999999998,0,0,0
Tuned rules,32,93.59914612509431,28.098797983591712,19.977039914677473,0,45.52330822682512,80.80849844641506,15575.419999999998,0,0,0
Tuned rules,33,91.82152979070997,38.15283225284486,43.565512785227035,0,10.103184752638072,78.14607549309663,15575.419999999998,0,0,0
Tuned rules,34,91.76835825068338,44.35091844987105,45.28249598888997,0,2.134943811922355,77.58346839958357,15575.419999999998,0,0,0
Tuned rules,35,90.2087034683059,51.417424150269845,77.84166538446426,0,-39.0503860664282,86.8450806604948,15575.419999999998,0,0,0
Tuned rules,36,88.6050934131969,56.54107796036994,90,0,-34.38415899705649,95,15575.419999999998,0,0,23.551825550116547
Tuned rules,37,90.05610983645757,52.801165125076906,83.50695053354676,0,0,95,15575.419999999998,0,0,46.25200582216608
Tuned rules,38,89.84193125263158,49.65566967116675,89.85014378430328,0,0,95,15575.419999999998,0,0,49.663882202838465
Tuned rules,39,89.90070454469074,43.40453689838797,89.00541733185703,0,0,95,15575.419999999998,0,0,42.509249685554266
Tuned rules,40,88.91442921368863,36.26178591276803,90,0,0,95,15575.419999999998,0,0,37.3473566990794
Tuned rules,41,89.79387582340706,24.679912443293915,90,0,0,95,15575.419999999998,0,0,24.886036619886852
Tuned rules,42,89.5241265825828,12.908360870374302,90,0,0,95,15575.419999999998,0,0,13.384234287791514
Tuned rules,43,88.7699798014487,7.37783047131242e-15,90,0,0,95,15575.419999999998,0,0,1.2300201985513155
Tuned rules,44,89.99384389496683,0,88.13378177024045,0,1.860062124726383,94.50983059137104,15575.419999999998,0,0,0
Tuned rules,45,90.8503452264963,0,67.55165740102981,0,23.298687825466487,88.37008725622857,15575.419999999998,0,0,0
Tuned rules,46,91.73974905848775,0,49.77516842020175,0,41.964580638285994,77.31144926699638,15575.419999999998,0,0,0
Tuned rules,47,87.27615526888275,0,26.944006518468136,0,60.33214875041461,61.41253208504707,15575.419999999998,0,0,0
Tuned rules,48,86.29784959029035,0,40.00369521202881,0,46.294154378261545,49.212951236150175,15575.419999999998,0,0,0
Tuned rules,49,86.63813508204103,0,34.669542548538764,0,51.96859253350227,35.51802463622622,15575.419999999998,0,0,0
Tuned rules,50,87.90467774660124,0,19.51641490097586,100,-31.611737154374623,43.01540640140574,15539.919999999998,0,0,0
Tuned rules,51,88.76671320084856,0,12.160986008446052,100,-23.394272807597503,48.563845372057,15504.419999999998,0,0,0
Tuned rules,52,88.77509462260088,0,11.850415067078492,100,-23.07532044447761,54.036638147766865,15468.919999999998,0,0,0
Tuned rules,53,87.51768575689972,0,22.28829312017397,100,-34.77060736327425,62.2832117649195,15433.419999999998,0,0,0
Tuned rules,54,87.69724843315274,11.833522907803294,20.018021063396517,100,-44.15429553804708,72.7553224434524,15397.919999999998,0,0,0
Tuned rules,55,93.0558970146844,23.828448180980565,26.32896925259901,100,-57.10152041889518,86.29813712212646,15362.419999999998,0,0,0
Tuned rules,56,94.24757747649645,32.72387915624302,14.30213952062132,0,47.221558799632106,73.85416374959279,15362.419999999998,0,0,0
Tuned rules,57,92.7079462748905,44.01376127100784,29.158006287520053,0,19.536178716362613,68.70592862294191,15362.419999999998,0,0,0
Tuned rules,58,92.2368619215297,51.96404019670223,34.55314899638953,0,5.719672728437942,67.19866251522411,15362.419999999998,0,0,0
Tuned rules,59,92.58547820805893,55.73271866577648,29.0570201906465,0,7.795739351635945,65.14430481554295,15362.419999999998,0,0,0
